x,y,population,cluster
415.2882309,264.6962844,10043,1
469.9735016,310.2218421,6973,1
426.8063743,280.6863873,6010,1
479.2131424,313.990006,4437,1
458.0083954,311.9167857,1916,1
430.6986828,237.7340692,8368,1
417.4388365,250.9609717,4442,1
385.562992,213.4638941,13249,1
358.3924219,295.5940184,46824,1
479.4382602,283.0712356,3858,1
459.6017509,272.2019719,5671,1
475.0939927,247.6133897,46102,1
448.3674549,292.0650706,2695,1
381.9641202,249.5696907,252815,1
401.2439556,264.2318599,4814,1
440.2424191,301.8257716,4936,1
393.7139384,286.7901673,5467,1
407.2134926,235.5927729,9998,1
479.2137675,303.3037383,27674,1
476.7301004,263.639871,3225,1
369.4160308,276.9703098,285465,1
383.6866285,279.6915719,23086,1
443.2497869,312.4085457,36776,1
458.1220684,302.7106402,3107,1
436.4318812,291.4278724,2756,1
449.7433723,271.7620984,2961,1
451.8641099,254.4134638,2756,1
430.0645557,220.8132993,614,1
459.8117931,263.0250287,4959,1
468.8611138,255.5204879,9188,1
396.1270437,219.8866683,36970,1
395.5022586,226.9739643,690,1
432.2973988,301.4136562,2234,1
391.1768532,256.9370853,28159,1
364.3014091,270.9032096,534543,1
428.5395567,261.4422549,2008,1
484.9164252,255.7272522,31364,1
469.2678696,292.9513698,28452,1
446.1938273,242.0168506,36288,1
430.3423136,228.9145705,460,1
394.7766058,235.0971567,3821,1
424.0252641,300.9497908,1247,1
407.5231286,212.1780141,11308,1
410.995157,280.748017,8270,1
451.3120121,230.1015837,763,1
461.2305977,255.3698617,2044,1
477.0911031,255.8315658,6489,1
375.1848475,211.4784611,8667,1
484.7123593,263.8675853,3812,1
438.8157593,271.1993021,2519,1
418.5993145,238.8976572,1941,1
341.5480892,383.9177285,16383,2
291.6412772,395.7406226,3725,2
299.1522946,357.9835145,71492,2
301.5497066,335.2544582,130044,2
317.9220613,435.1386291,209226,2
320.7282727,396.9636229,17866,2
366.9349235,437.5256118,53828,2
336.2956031,354.8690607,17950,2
259.0733003,438.8602727,131346,2
360.0028854,461.4942079,2398,2
346.1508445,406.2226997,20494,2
214.1280776,396.8939608,3817117,2
362.4463587,494.332539,7818,2
273.5040341,411.2053317,8437,2
216.8187468,367.7237296,211033,2
260.8872322,413.8869477,37220,2
341.6962188,363.6119284,144170,2
332.5165035,340.9546268,40246,2
327.5376934,450.4423571,800647,2
301.0345253,373.3688002,27213,2
220.1141212,427.6285842,980258,2
365.5118881,478.5762716,2342,2
232.4488017,409.8367182,375770,2
260.653342,358.3646576,107449,2
181.8143778,404.5436518,195751,2
327.9298125,373.2569331,662561,2
324.2316977,380.5894045,76569,2
343.675369,459.8224644,3476,2
235.9230957,443.6465763,47420,2
288.5323018,424.7878309,29514,2
325.5121668,354.9972093,131561,2
184.1902925,383.8916426,20489,2
279.6126181,439.4478159,4894,2
340.1249647,431.4571999,63797,2
235.1229004,343.8455175,134421,2
312.0779592,416.6190488,11988,2
298.9761784,436.9691892,25095,2
275.3842079,359.8803161,71518,2
244.9834582,391.2320198,53596,2
