x,y,population,cluster
619.3874589,144.4831575,20689,0
664.9796478,219.6664859,916924,0
575.3848036,204.0088394,10680,0
599.8625239,209.2421089,20958,0
596.8966509,264.1094077,4131,0
596.7598563,227.722352,16355,0
599.7070362,249.5000138,7570,0
559.4558345,244.2429062,12534,0
567.3211511,130.0233741,26097,0
655.8171222,145.9658692,37660,0
659.5992227,184.4900536,131887,0
632.3855531,216.7286739,15387,0
606.8059965,189.8424386,14330,0
636.2670074,160.3419165,70019,0
580.0718605,270.8562224,12761,0
557.5703956,156.1344665,36648,0
631.3347395,140.6301595,28743,0
551.4876905,244.3406419,4029,0
647.1193889,84.89995495,2156,0
581.1441162,173.715284,20087,0
575.1713731,195.862455,44150,0
627.3676093,173.6604459,26664,0
596.3142654,151.6280384,43857,0
628.6921555,203.2943734,16836,0
630.2162509,185.016018,61976,0
641.3843239,168.4756831,24496,0
534.1341055,145.226096,9783,0
646.4919976,131.4017172,9304,0
645.722085,209.8524928,295265,0
553.1338015,182.5284428,20840,0
583.1703732,196.1197754,16303,0
574.9789228,188.9653001,7598,0
591.1490321,195.8283972,12439,0
589.851188,256.4155702,4431,0
637.1388487,209.9694057,47711,0
591.8360203,209.5884484,131090,0
660.326755,233.2339327,50063,0
594.5633514,116.8733376,44159,0
612.8820104,244.9499152,40325,0
651.4257481,168.7750888,166994,0
583.6054202,250.2871702,12887,0
621.8917395,215.0869167,19848,0
591.6191588,249.8913609,8753,0
614.9099867,120.097685,16157,0
608.4101253,251.8886047,35858,0
616.0897218,82.02528137,5176,0
651.5146908,209.6034544,54165,0
631.3239436,151.0614035,134063,0
643.6090525,216.707437,53497,0
588.7598545,263.0466401,25607,0
612.7386449,224.9670086,18499,0
579.7600327,262.8734158,6714,0
664.3179975,183.9054643,86395,0
587.1083776,236.30973,22381,0
664.2614845,202.6457752,166426,0
579.1566664,236.5875881,33303,0
651.2825885,107.5960843,8860,0
572.3744941,220.3666666,89542,0
530.8170731,158.5476178,10438,0
599.4181143,242.9250964,16843,0
606.2062158,243.776502,20145,0
581.1980061,256.6751613,4979,0
556.7279632,127.822083,33198,0
577.5635675,158.5550956,398552,0
595.1244437,235.9723689,10511,0
618.7922465,199.2994613,51208,0
604.4407692,264.6241531,10211,0
663.2322662,112.8765123,67077,0
648.2791504,152.1051003,41949,0
667.7364031,156.8998509,20574,0
590.8932404,188.9141198,9566,0
589.0004643,173.7785721,144243,0
671.5999228,146.5068787,27785,0
637.6838226,246.8572533,186493,0
526.0554978,151.8993148,7259,0
608.2990741,200.3283945,18129,0
596.506197,140.3576382,45870,0
591.4016429,202.4856566,24276,0
633.6330785,224.2718822,58498,0
